dataset_size,is_delete_submotifs,execution_time,file_size_gb
5,False,0.145250875,0.0011565983295440674
5,True,0.358170583,0.00022609345614910126
10,False,0.460023833,0.005685726180672646
10,True,2.023835667,0.001020093448460102
15,False,0.815602791,0.01196927111595869
15,True,4.203790166,0.0023298505693674088
20,False,1.338689833,0.02207090798765421
20,True,6.858345542,0.00427368376404047
25,False,1.716858542,0.030905041843652725
25,True,9.48229975,0.006194599904119968
30,False,1.991836833,0.03845412656664848
30,True,11.2490665,0.007796058431267738
