,Initial,First Sample dataset,,,,Second Sample Dataset,,,,,
nb seqs\Total nb fam,2246,350,250,150,50,600,500,400,300,200,100
[4-10]     ,1064,165,118,71,23,284,236,189,142,94,47
[11-20]    ,500,77,55,33,11,133,111,89,66,44,22
[21-40]    ,364,57,40,24,8,97,81,64,48,32,16
[41-100]   ,191,30,21,12,4,51,43,34,26,17,8
[101-500]  ,119,19,14,8,2,31,27,22,16,11,5
[501-1000] ,4,1,1,1,1,2,1,1,1,1,1
[1001-1542],4,1,1,1,1,2,1,1,1,1,1
