dataset_size,is_delete_submotifs,execution_time,file_size_gb
5,False,0.151602916,0.0011544283479452133
5,True,0.379532875,0.0002239234745502472
10,False,0.49629525,0.00568182859569788
10,True,2.045046917,0.0010161958634853363
15,False,0.887663208,0.011963463388383389
15,True,4.492671667,0.0023240428417921066
20,False,1.357252792,0.022062797099351883
20,True,6.956452958,0.004265572875738144
25,False,1.740365542,0.03089532721787691
25,True,9.792450958,0.006184885278344154
30,False,2.107441625,0.03844304848462343
30,True,12.032648916,0.007784980349242687
